ticker,name,volume,price,change,date
NAHCO,Nigerian Aviation Handling Co.,5549704.0,32.5,-0.5,2024-04-25
NASCON,National Salt Company,26286.0,52.55,0.0,2024-04-25
NB,Nigerian Breweries,20538055.0,27.95,-0.05,2024-04-25
NCR,NCR Nigeria,2236.0,4.32,0.0,2024-04-25
NEIMETH,Neimeth International Pharma,3151865.0,1.98,0.18,2024-04-25
NEM,N.E.M. Insurance Company,176631.0,10.35,0.0,2024-04-25
NESTLE,Nestle Nigeria,571385.0,820.0,0.0,2024-04-25
NGXGROUP,Nigerian Exchange Group,21142.0,21.15,0.0,2024-04-25
NIDF,Nigeria Infrastructure Debt Fund,2000.0,114.0,0.0,2024-04-25
NIGERINS,Niger Insurance Company,3297926.3,0.2,,2024-04-25
NNFM,Northern Nigeria Flour Mills,243.0,48.3,0.0,2024-04-25
NOTORE,Notore Chemical Industries Plc,3297926.3,62.5,,2024-04-25
NPFMCRFBK,NPF Microfinance Bank,356950.0,1.65,0.05,2024-04-25
NSLTECH,Secure Electronic Technology,30000.0,0.6,0.0,2024-04-25
OANDO,Oando Plc,21366528.0,9.1,-1.0,2024-04-25
OKOMUOIL,Okomu Oil Palm,248648.0,246.5,-0.5,2024-04-25
OMATEK,Omatek Ventures,5645015.0,0.83,0.0,2024-04-25
PHARMDEKO,Pharma-Deko Plc,3297926.3,1.83,,2024-04-25
PREMPAINTS,Premier Paints,3297926.3,10.0,,2024-04-25
PRESCO,Presco Plc,145259.0,231.5,0.0,2024-04-25
PRESTIGE,Prestige Assurance Company,1167465.0,0.6,0.0,2024-04-25
PZ,PZ Cussons Nigeria,75345.0,38.0,0.0,2024-04-25
RAKUNITY,RAK Unity Petroleum Company,3297926.3,0.3,,2024-04-25
REDSTAREX,Red Star Express Plc,24470.0,3.38,0.0,2024-04-25
REGALINS,Regency Alliance Insurance,133050.0,0.41,0.0,2024-04-25
RESORTSAL,Resort Savings & Loans,3297926.3,0.2,,2024-04-25
RONCHESS,Ronchess Global Resources,3297926.3,81.0,,2024-04-25
ROYALEX,Royal Exchange,4108644.0,0.62,-0.06,2024-04-25
RTBRISCOE,RT Briscoe,99434.0,0.64,0.0,2024-04-25
SCOA,SCOA Nigeria,162.0,2.15,0.0,2024-04-25
SEPLAT,Seplat Petroleum Development Co.,5439.0,3370.0,0.0,2024-04-25
SFSREIT,Skye Shelter Fund Plc,3297926.3,101.35,,2024-04-25
SKYAVN,Skyway Aviation Handling Co. Plc,2576.0,22.95,0.0,2024-04-25
SMURFIT,Smart Products Nigeria,3297926.3,0.2,,2024-04-25
SOVRENINS,Sovereign Trust Insurance,500000.0,0.4,-0.04,2024-04-25
STACO,Standard Trust Assurance,3297926.3,0.48,,2024-04-25
STANBIC,Stanbic IBTC Holdings,6491769.0,45.0,0.0,2024-04-25
STDINSURE,Standard Alliance Insurance,3297926.3,0.2,,2024-04-25
STERLINGNG,Sterling Bank,3317356.0,4.23,0.01,2024-04-25
SUNUASSUR,Sunu Assurances Nigeria Plc,552467.0,1.21,0.11,2024-04-25
TANTALIZER,Tantalizers Plc,213143.0,0.32,0.0,2024-04-25
THOMASWY,Thomas Wyatt Nigeria,315000.0,1.78,-0.19,2024-04-25
TIP,The Initiates Plc,7581336.0,1.98,0.18,2024-04-25
TOTAL,Total Nigeria,23057.0,321.5,-25.0,2024-04-25
TOURIST,Tourist Company of Nigeria,3297926.3,2.5,,2024-04-25
TRANSCOHOT,Transcorp Hotels Plc,137719.0,87.93,-9.77,2024-04-25
TRANSCORP,Transcorp Nigeria,8413693.0,13.9,-1.0,2024-04-25
TRANSEXPR,Trans-Nationwide Express,3297926.3,1.27,,2024-04-25
TRANSPOWER,Transcorp Power,351575.0,373.9,0.0,2024-04-25
TRIPPLEG,Tripple Gee & Co. Plc,900.0,4.13,0.0,2024-04-25
UACN,UAC of Nigeria,340165.0,11.4,0.0,2024-04-25
UBA,United Bank for Africa,41599983.0,22.7,-0.3,2024-04-25
UCAP,United Capital Plc,7011209.0,17.0,-0.2,2024-04-25
UHOMREIT,Union Homes Real Estate Inv.,3297926.3,36.6,,2024-04-25
UNHOMES,Union Homes Savings & Loans,3297926.3,3.02,,2024-04-25
UNILEVER,Unilever Nigeria,728479.0,15.1,0.8,2024-04-25
UNIONDICON,Union Dicon Salt,375.0,8.1,0.0,2024-04-25
UNITYBNK,Unity Bank,775431.0,1.75,0.0,2024-04-25
UNIVINSURE,Universal Insurance Company,17112803.0,0.37,0.01,2024-04-25
UPDC,UPDC Plc,1757212.0,1.35,0.12,2024-04-25
UPDCREIT,UPDC Real Estate Investment Trust,414744.0,4.05,0.0,2024-04-25
UPL,University Press,37404.0,2.46,0.0,2024-04-25
VANLEER,Greif Nigeria,3297926.3,5.45,,2024-04-25
VERITASKAP,Veritas Kapital Assurance Plc,2591033.0,0.6,0.01,2024-04-25
VFDGROUP,VFD Group,38.0,202.9,0.0,2024-04-25
VITAFOAM,Vitafoam Nigeria,258839.0,17.15,0.0,2024-04-25
WAPCO,Lafarge Wapco,593477.0,36.0,0.0,2024-04-25
WAPIC,Wapic Insurance,1757798.0,0.65,-0.02,2024-04-25
WEMABANK,Wema Bank,518886.0,7.0,0.0,2024-04-25
ZENITHBANK,Zenith Bank Plc,46155986.0,36.6,0.6,2024-04-25
